County Name,County Code Number,County Code,State FIPS Code ,County FIPS Code,Population,Population MOE,Uninsured,Uninsured MOE,Uninsured Pct,Uninsured Pct MOE,Population - Under 18 years,Population - Under 18 years MOE,Population - Under 18 years - Uninsured,Population - Under 18 years - Uninsured MOE,Population - Under 18 years - Uninsured Pct,Population - Under 18 years - Uninsured Pct MOE,Population - 18 to 64 years,Population - 18 to 64 years MOE,Population - 18 to 64 years - Uninsured,Population - 18 to 64 years - Uninsured MOE,Population - 18 to 64 years - Uninsured Pct,Population - 18 to 64 years - Uninsured Pct MOE,Population - 65 years and older,Population - 65 years and older MOE,Population - 65 years and older - Uninsured,Population - 65 years and older - Uninsured MOE,Population - 65 years and older - Uninsured Pct,Population - 65 years and older - Uninsured Pct MOE,Population - 19 to 25 years,Population - 19 to 25 years MOE,Population - 19 to 25 years - Uninsured,Population - 19 to 25 years - Uninsured MOE,Population - 19 to 25 years - Uninsured Pct,Population - 19 to 25 years - Uninsured Pct MOE,Male,Male MOE,Male - Uninsured,Male - Uninsured MOE,Male - Uninsured Pct,Male - Uninsured Pct MOE,Female,Female MOE,Female - Uninsured,Female - Uninsured MOE,Female - Uninsured Pct,Female - Uninsured Pct MOE,Race - One Race,Race - One Race MOE,Race - One Race - Uninsured,Race - One Race - Uninsured MOE,Race - One Race - Uninsured Pct,Race - One Race - Uninsured Pct MOE,Race - One Race - White,Race - One Race - White MOE,Race - One Race - White - Uninsured,Race - One Race - White - Uninsured MOE,Race - One Race - White - Uninsured Pct,Race - One Race - White - Uninsured Pct MOE,Race - One Race - Black or African American,Race - One Race - Black or African American MOE,Race - One Race - Black or African American - Uninsured,Race - One Race - Black or African American - Uninsured MOE,Race - One Race - Black or African American - Uninsured Pct,Race - One Race - Black or African American - Uninsured Pct MOE,Race - One Race - American Indian and Alaska Native,Race - One Race - American Indian and Alaska Native MOE,Race - One Race - American Indian and Alaska Native - Uninsured,Race - One Race - American Indian and Alaska Native - Uninsured MOE,Race - One Race - American Indian and Alaska Native - Uninsured Pct,Race - One Race - American Indian and Alaska Native - Uninsured Pct MOE,Race - One Race - Asian,Race - One Race - Asian MOE,Race - One Race - Asian - Uninsured,Race - One Race - Asian - Uninsured MOE,Race - One Race - Asian - Uninsured Pct,Race - One Race - Asian - Uninsured Pct MOE,Race - One Race - Native Hawaiian and Other Pacific Islander,Race - One Race - Native Hawaiian and Other Pacific Islander MOE,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured MOE,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured Pct,Race - One Race - Native Hawaiian and Other Pacific Islander - Uninsured Pct MOE,Race - One Race - Some other race,Race - One Race - Some other race MOE,Race - One Race - Some other race - Uninsured,Race - One Race - Some other race - Uninsured MOE,Race - One Race - Some other race - Uninsured Pct,Race - One Race - Some other race - Uninsured Pct MOE,Race - Two or more races,Race - Two or more races MOE,Race - Two or more races - Uninsured,Race - Two or more races - Uninsured MOE,Race - Two or more races - Uninsured Pct,Race - Two or more races - Uninsured Pct MOE,"White, not Hispanic or Latino","White, not Hispanic or Latino MOE","White, not Hispanic or Latino - Uninsured","White, not Hispanic or Latino - Uninsured MOE","White, not Hispanic or Latino - Uninsured Pct","White, not Hispanic or Latino - Uninsured Pct MOE",Hispanic or Latino (of any race),Hispanic or Latino (of any race) MOE,Hispanic or Latino (of any race) - Uninsured,Hispanic or Latino (of any race) - Uninsured MOE,Hispanic or Latino (of any race) - Uninsured Pct,Hispanic or Latino (of any race) - Uninsured Pct MOE,Household Income,Household Income MOE,Household Income - Uninsured,Household Income - Uninsured MOE,Household Income - Uninsured Pct,Household Income - Uninsured Pct MOE,"Household Income - Under $25,000","Household Income - Under $25,000 MOE","Household Income - Under $25,000 - Uninsured","Household Income - Under $25,000 - Uninsured MOE","Household Income - Under $25,000 - Uninsured Pct","Household Income - Under $25,000 - Uninsured Pct MOE","Household Income - $25,000 to $49,999","Household Income - $25,000 to $49,999 MOE","Household Income - $25,000 to $49,999 - Uninsured","Household Income - $25,000 to $49,999 - Uninsured MOE","Household Income - $25,000 to $49,999 - Uninsured Pct","Household Income - $25,000 to $49,999 - Uninsured Pct MOE","Household Income - $50,000 to $74,999","Household Income - $50,000 to $74,999 MOE","Household Income - $50,000 to $74,999 - Uninsured","Household Income - $50,000 to $74,999 - Uninsured MOE","Household Income - $50,000 to $74,999 - Uninsured Pct","Household Income - $50,000 to $74,999 - Uninsured Pct MOE","Household Income - $75,000 to $99,999","Household Income - $75,000 to $99,999 MOE","Household Income - $75,000 to $99,999 - Uninsured","Household Income - $75,000 to $99,999 - Uninsured MOE","Household Income - $75,000 to $99,999 - Uninsured Pct","Household Income - $75,000 to $99,999 - Uninsured Pct MOE","Household Income - $100,000 and over","Household Income - $100,000 and over MOE","Household Income - $100,000 and over - Uninsured","Household Income - $100,000 and over - Uninsured MOE","Household Income - $100,000 and over - Uninsured Pct","Household Income - $100,000 and over - Uninsured Pct MOE",Ratio of Income to Poverty Level,Ratio of Income to Poverty Level MOE,Ratio of Income to Poverty Level - Uninsured,Ratio of Income to Poverty Level - Uninsured MOE,Ratio of Income to Poverty Level - Uninsured Pct,Ratio of Income to Poverty Level - Uninsured Pct MOE,Ratio of Income to Poverty Level - Under 1.38 of poverty,Ratio of Income to Poverty Level - Under 1.38 of poverty MOE,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured MOE,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured Pct,Ratio of Income to Poverty Level - Under 1.38 of poverty - Uninsured Pct MOE,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty MOE,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured MOE,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured Pct,Ratio of Income to Poverty Level - 1.38 to 1.99 of poverty - Uninsured Pct MOE,Ratio of Income to Poverty Level - 2.00 of poverty and over,Ratio of Income to Poverty Level - 2.00 of poverty and over MOE,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured MOE,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured Pct,Ratio of Income to Poverty Level - 2.00 of poverty and over - Uninsured Pct MOE,Location 1
Adams,1,01,42,001,"100,245",310,"9,386",733,9.4%,0.7%,"21,620",84,"1,258",314,5.8%,1.4%,"62,211",243,"8,085",577,13%,0.9%,"16,414",171,43,32,0.3%,0.2%,"9,060",238,"1,610",314,17.8%,3.5%,"49,391",300,"5,022",454,10.2%,0.9%,"50,854",191,"4,364",417,8.6%,0.8%,"98,249",547,"9,089",711,9.3%,0.7%,"92,628",541,"7,380",608,8%,0.7%,"1,468",177,148,73,10.1%,5.1%,148,87,23,34,15.5%,15.8%,710,94,164,104,23.1%,12.9%,0,24,0,24,,,"3,295",475,"1,374",386,41.7%,9.8%,"1,996",424,297,136,14.9%,5.7%,"90,361",270,"6,935",613,7.7%,0.7%,"6,349",56,"1,940",384,30.6%,6%,"97,279",488,"9,221",748,9.5%,0.8%,"12,102",838,"2,275",468,18.8%,3.4%,"19,670","1,013","2,635",395,13.4%,1.8%,"22,400","1,095","2,196",374,9.8%,1.6%,"16,748","1,072",899,221,5.4%,1.3%,"26,359","1,152","1,216",269,4.6%,1%,"97,107",512,"9,207",721,9.5%,0.7%,"15,510","1,131","3,709",502,23.9%,2.6%,"9,511",830,"1,833",345,19.3%,2.9%,"72,086","1,233","3,665",350,5.1%,0.5%,"(39.8720956503, -77.2222427076)"
Allegheny,2,02,42,003,"1,214,370","1,594","90,813","2,423",7.5%,0.2%,"237,063",128,"5,984",606,2.5%,0.3%,"776,528","1,354","84,382","2,183",10.9%,0.3%,"200,779",671,447,147,0.2%,0.1%,"121,251","1,231","16,877",897,13.9%,0.7%,"582,118","1,317","51,333","1,552",8.8%,0.3%,"632,252",692,"39,480","1,312",6.2%,0.2%,"1,186,997","2,038","88,351","2,500",7.4%,0.2%,"986,695","1,209","64,715","2,112",6.6%,0.2%,"155,550","1,400","19,313","1,268",12.4%,0.8%,"1,646",210,276,98,16.8%,5.7%,"38,001",622,"3,318",525,8.7%,1.4%,302,66,51,38,16.9%,11.4%,"4,803",624,678,186,14.1%,3.8%,"27,373","1,415","2,462",384,9%,1.3%,"973,070",912,"62,936","2,073",6.5%,0.2%,"20,998",154,"2,457",374,11.7%,1.8%,"1,192,995","1,907","90,048","2,407",7.5%,0.2%,"210,015","3,751","29,817","1,378",14.2%,0.6%,"238,964","4,348","27,473","1,180",11.5%,0.4%,"216,519","4,325","16,208","1,116",7.5%,0.5%,"173,419","4,311","8,449",766,4.9%,0.4%,"354,078","4,470","8,101",821,2.3%,0.2%,"1,195,299","1,862","90,289","2,388",7.6%,0.2%,"224,021","4,357","36,108","1,531",16.1%,0.6%,"118,386","3,464","15,454","1,044",13.1%,0.7%,"852,892","4,917","38,727","1,671",4.5%,0.2%,"(40.4673554298, -79.9861984282)"
Armstrong,3,03,42,005,"67,808",137,"5,748",459,8.5%,0.7%,"13,638",24,439,121,3.2%,0.9%,"41,293",86,"5,294",415,12.8%,1%,"12,877",121,15,13,0.1%,0.1%,"4,617",137,856,134,18.5%,2.9%,"33,629",105,"2,905",264,8.6%,0.8%,"34,179",142,"2,843",268,8.3%,0.8%,"67,293",172,"5,714",455,8.5%,0.7%,"66,379",197,"5,637",451,8.5%,0.7%,584,90,44,34,7.5%,5.7%,21,16,0,24,0%,56.8%,130,40,22,21,16.9%,12.1%,0,24,0,24,,,179,123,11,10,6.1%,7.2%,515,85,34,24,6.6%,4.2%,"66,180",155,"5,612",449,8.5%,0.7%,411,15,33,24,8%,5.9%,"67,481",181,"5,722",458,8.5%,0.7%,"12,568",621,"1,713",256,13.6%,1.9%,"17,458",921,"1,977",277,11.3%,1.3%,"14,565",963,997,168,6.8%,1%,"10,230",803,540,170,5.3%,1.6%,"12,660",884,495,143,3.9%,1.1%,"67,530",167,"5,747",459,8.5%,0.7%,"14,091",766,"2,318",313,16.5%,1.9%,"8,229",591,953,170,11.6%,1.9%,"45,210",902,"2,476",307,5.5%,0.7%,"(40.8150952555, -79.4731689893)"
Beaver,4,04,42,007,"168,629",222,"12,481",843,7.4%,0.5%,"34,004",20,987,215,2.9%,0.6%,"102,861",186,"11,464",783,11.1%,0.8%,"31,764",188,30,35,0.1%,0.1%,"13,245",348,"2,225",219,16.8%,1.7%,"81,530",190,"6,704",471,8.2%,0.6%,"87,099",184,"5,777",536,6.6%,0.6%,"165,135",418,"12,204",833,7.4%,0.5%,"153,530",285,"10,471",722,6.8%,0.5%,"10,017",383,"1,457",262,14.5%,2.6%,151,147,21,20,13.9%,17.9%,929,91,141,96,15.2%,10.5%,19,20,11,16,57.9%,57.9%,489,154,103,106,21.1%,19.3%,"3,494",359,277,104,7.9%,2.8%,"152,112",227,"10,407",722,6.8%,0.5%,"2,222",14,179,112,8.1%,5.1%,"166,808",385,"12,419",848,7.4%,0.5%,"28,214","1,342","3,429",457,12.2%,1.5%,"38,390","1,624","3,949",445,10.3%,1.1%,"33,411","1,800","2,494",423,7.5%,1.2%,"27,674","1,519","1,257",255,4.5%,0.9%,"39,119","1,475","1,290",258,3.3%,0.6%,"167,217",375,"12,440",844,7.4%,0.5%,"29,733","1,332","4,154",461,14%,1.4%,"18,903","1,200","2,239",339,11.8%,1.7%,"118,581","1,605","6,047",509,5.1%,0.4%,"(40.6834924548, -80.3510735648)"
Bedford,5,05,42,009,"48,771",131,"5,487",438,11.3%,0.9%,"10,411",32,876,192,8.4%,1.9%,"28,921",76,"4,575",345,15.8%,1.2%,"9,439",122,36,26,0.4%,0.3%,"3,439",119,998,125,29%,3.8%,"24,360",91,"2,925",264,12%,1.1%,"24,411",151,"2,562",254,10.5%,1%,"48,382",141,"5,460",439,11.3%,0.9%,"47,902",155,"5,382",441,11.2%,0.9%,215,73,56,48,26%,21.2%,93,37,18,18,19.4%,20.5%,120,54,0,22,0%,18.7%,0,22,0,22,,,52,68,4,10,7.7%,22.1%,389,96,27,15,6.9%,4%,"47,609",133,"5,339",440,11.2%,0.9%,419,36,66,31,15.8%,6.6%,"48,717",135,"5,481",438,11.3%,0.9%,"9,839",710,"1,595",267,16.2%,2.4%,"12,746",914,"1,677",265,13.2%,1.7%,"11,159",702,963,152,8.6%,1.3%,"7,086",596,468,165,6.6%,2.3%,"7,887",725,778,185,9.9%,2%,"48,570",171,"5,449",437,11.2%,0.9%,"10,806",674,"2,251",346,20.8%,2.8%,"6,608",662,895,203,13.5%,2.4%,"31,156",942,"2,303",306,7.4%,0.9%,"(40.0073753643, -78.4911647381)"
Berks,6,06,42,011,"408,084",515,"41,038","1,630",10.1%,0.4%,"95,806",102,"5,777",667,6%,0.7%,"252,313",345,"34,953","1,361",13.9%,0.5%,"59,965",393,308,112,0.5%,0.2%,"39,977",593,"7,682",662,19.2%,1.6%,"200,358",354,"23,000","1,175",11.5%,0.6%,"207,726",319,"18,038",841,8.7%,0.4%,"393,631","1,238","39,000","1,641",9.9%,0.4%,"342,612","1,606","29,898","1,385",8.7%,0.4%,"19,382",860,"3,118",420,16.1%,2.1%,"1,731",563,529,269,30.6%,13.1%,"5,608",253,578,176,10.3%,3.1%,188,167,0,24,0%,12.4%,"24,110","1,499","4,877",790,20.2%,2.9%,"14,453","1,271","2,038",391,14.1%,2.6%,"308,040",468,"23,374","1,139",7.6%,0.4%,"71,802",152,"14,045","1,095",19.6%,1.5%,"399,667",983,"40,361","1,679",10.1%,0.4%,"64,977","2,296","10,124",922,15.6%,1.3%,"82,140","2,851","11,644",938,14.2%,1%,"81,259","3,020","8,857",889,10.9%,1%,"62,299","2,463","4,844",577,7.8%,0.8%,"108,992","2,834","4,892",698,4.5%,0.7%,"399,921",876,"40,556","1,658",10.1%,0.4%,"83,391","2,457","16,323","1,160",19.6%,1.3%,"39,996","2,311","6,634",835,16.6%,1.8%,"276,534","2,898","17,599","1,209",6.4%,0.4%,"(40.4193963513, -75.9307732705)"
Blair,7,07,42,013,"124,952",259,"11,684",754,9.4%,0.6%,"26,357",7,"1,194",272,4.5%,1%,"76,686",134,"10,428",652,13.6%,0.9%,"21,909",236,62,41,0.3%,0.2%,"11,559",305,"2,334",330,20.2%,2.9%,"60,867",238,"6,604",533,10.8%,0.9%,"64,085",293,"5,080",428,7.9%,0.7%,"123,349",306,"11,511",735,9.3%,0.6%,"120,190",270,"10,733",683,8.9%,0.6%,"1,955",212,423,133,21.6%,6.8%,67,48,4,7,6%,7.3%,"1,005",72,287,134,28.6%,12.8%,0,24,0,24,,,132,77,64,50,48.5%,23.2%,"1,603",221,173,87,10.8%,5.4%,"119,081",259,"10,525",650,8.8%,0.5%,"1,326",20,280,145,21.1%,10.9%,"123,358",439,"11,543",739,9.4%,0.6%,"23,774","1,224","2,983",368,12.5%,1.4%,"32,900","1,564","4,045",532,12.3%,1.4%,"26,482","1,469","2,537",479,9.6%,1.7%,"18,455","1,337","1,061",286,5.7%,1.4%,"21,747","1,348",917,235,4.2%,1%,"123,524",412,"11,605",745,9.4%,0.6%,"27,136","1,192","4,171",477,15.4%,1.6%,"18,110","1,386","2,941",481,16.2%,2.4%,"78,278","1,329","4,493",525,5.7%,0.6%,"(40.4855502384, -78.349076871)"
Bradford,8,08,42,015,"61,883",151,"7,214",525,11.7%,0.8%,"13,965",4,"1,306",202,9.4%,1.4%,"36,755",126,"5,871",413,16%,1.1%,"11,163",133,37,32,0.3%,0.3%,"4,703",172,"1,226",187,26.1%,4%,"30,600",119,"3,922",359,12.8%,1.2%,"31,283",126,"3,292",298,10.5%,1%,"61,209",181,"7,128",522,11.6%,0.9%,"60,383",160,"7,069",520,11.7%,0.9%,250,88,18,15,7.2%,6.7%,61,29,2,3,3.3%,5.6%,388,44,31,23,8%,5.9%,6,9,0,24,0%,100%,121,67,8,12,6.6%,11.1%,674,86,86,54,12.8%,7.6%,"59,689",143,"6,832",488,11.4%,0.8%,834,8,261,114,31.3%,13.6%,"61,702",215,"7,206",525,11.7%,0.9%,"10,135",746,"1,713",229,16.9%,1.9%,"16,322",963,"2,324",311,14.2%,1.5%,"13,369",820,"1,533",263,11.5%,1.8%,"9,301",809,590,148,6.3%,1.5%,"12,575",836,"1,046",229,8.3%,1.7%,"61,477",184,"7,164",519,11.7%,0.8%,"13,273",798,"2,729",335,20.6%,2.1%,"8,808",723,"1,345",241,15.3%,2.3%,"39,396",870,"3,090",373,7.8%,0.9%,"(41.7911781401, -76.5182562384)"
Bucks,9,09,42,017,"620,253",728,"38,933","1,676",6.3%,0.3%,"137,943",157,"3,688",621,2.7%,0.4%,"387,288",552,"34,932","1,463",9%,0.4%,"95,022",362,313,107,0.3%,0.1%,"46,586",675,"6,033",511,13%,1.1%,"303,596",655,"21,428","1,022",7.1%,0.3%,"316,657",333,"17,505",916,5.5%,0.3%,"609,893","1,148","38,076","1,671",6.2%,0.3%,"554,773","1,109","31,816","1,463",5.7%,0.3%,"22,549",724,"2,588",437,11.5%,2%,798,268,107,70,13.4%,9.6%,"25,960",525,"2,232",472,8.6%,1.8%,46,52,0,24,0%,38.3%,"5,767",990,"1,333",530,23.1%,7%,"10,360",956,857,228,8.3%,2.1%,"533,639",696,"28,273","1,324",5.3%,0.2%,"28,552",126,"5,033",710,17.6%,2.5%,"616,477",855,"38,852","1,679",6.3%,0.3%,"48,581","2,220","7,059",814,14.5%,1.5%,"89,377","3,096","10,941",957,12.2%,0.9%,"101,596","3,481","7,172",775,7.1%,0.7%,"91,570","3,047","5,549",893,6.1%,0.9%,"285,353","4,722","8,131",794,2.8%,0.3%,"617,411",836,"38,841","1,677",6.3%,0.3%,"58,845","2,614","10,358",922,17.6%,1.4%,"44,447","2,075","6,273",737,14.1%,1.4%,"514,119","3,373","22,210","1,263",4.3%,0.2%,"(40.335011331, -75.1129124111)"
Butler,10,10,42,019,"182,796",375,"12,615",745,6.9%,0.4%,"39,468",96,"1,198",247,3%,0.6%,"114,658",179,"11,409",666,10%,0.6%,"28,670",279,8,12,0%,0.1%,"15,927",410,"2,537",321,15.9%,2%,"90,121",192,"6,887",465,7.6%,0.5%,"92,675",316,"5,728",548,6.2%,0.6%,"180,985",457,"12,493",741,6.9%,0.4%,"176,781",384,"11,956",700,6.8%,0.4%,"1,710",192,185,89,10.8%,4.8%,157,59,11,12,7%,7.6%,"2,001",159,284,202,14.2%,10.1%,52,46,0,24,0%,35.8%,284,129,57,81,20.1%,24.3%,"1,811",253,122,64,6.7%,3.3%,"174,961",354,"11,813",697,6.8%,0.4%,"2,193",25,227,122,10.4%,5.6%,"179,513",588,"12,384",741,6.9%,0.4%,"22,830",972,"3,379",440,14.8%,1.8%,"34,301","1,366","4,006",457,11.7%,1.2%,"34,557","1,558","2,304",415,6.7%,1.1%,"28,276","1,556","1,263",264,4.5%,0.9%,"59,549","2,000","1,432",257,2.4%,0.4%,"179,754",554,"12,406",746,6.9%,0.4%,"25,064","1,071","4,526",491,18.1%,1.7%,"16,040","1,061","1,989",274,12.4%,1.5%,"138,650","1,442","5,891",576,4.2%,0.4%,"(40.9108318483, -79.9171177889)"
